id,name,description,price,unit,image_url,badge,in_stock,featured,created_at
"11","Connie Mayer Dragon Fruit Plant","This beautiful hybrid variety was developed by renowned horticulturist Connie Mayer. It combines the best traits of multiple species - exceptional sweetness, vibrant color, and high yield. The fruits have a distinctive star-shaped cross-section when cut.","350","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCdR8B57qdWpV1vC0FK-vz2PGSZOfy2FJ33FnftuU6s6TYlHNj7J4SyZLXTFFkJlT2w5Y&usqp=CAU","","true","false","2026-01-11T00:00:00.000Z"
"12","Physical Graffiti Dragon Fruit Plant","Named for its stunning skin patterns that resemble abstract art, this variety is as delicious as it is beautiful. The flesh is deep purple with an intense berry-like flavor. Each fruit develops unique markings, making every piece one-of-a-kind.","450","plant","https://images.squarespace-cdn.com/content/v1/5cdb551c35d35b0001dbdcc7/1619883421838-7YV2JGZQ568TIR2Y8T4C/Dragonfruit_PhysicalGraffiti.jpg?format=2500w","","true","false","2026-01-12T00:00:00.000Z"
"13","Purple Haze Dragon Fruit Plant","Purple Haze lives up to its name with strikingly colored flesh that's among the deepest purple of any variety. The flavor is rich and complex, with notes of grape and blackberry. The color intensifies when the fruit is fully ripe, making it spectacular for presentations.","400","plant","https://dragonfruitobsession.github.io/varieties/Variety%20Photos/Malaysian%20Purple/Malaysian%20Purple%20-%20Fruit%204.jpg","","true","true","2026-01-13T00:00:00.000Z"
"14","Maria Rosa Dragon Fruit Plant","Maria Rosa is a pink-skinned variety with delicate flavor that's less sweet but more aromatic than most. The flesh is crisp with floral notes that pair beautifully with light desserts. The plants are particularly ornamental, with showy flowers and fruits.","400","plant","https://paradiseflowers.in/wp-content/uploads/2021/09/IMG_20210910_115928-300x300.jpg","","true","false","2026-01-14T00:00:00.000Z"
"15","American Beauty Dragon Fruit Plant","This widely loved variety is known for its consistent quality and beautiful presentation. The bright pink skin covers sweet, magenta flesh that's perfect for fruit platters. American Beauty plants are vigorous growers that adapt well to various conditions.","300","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0wwL1_7uBJeF9S3Fkwh4gGvwhj_kD9cRiRQ&s","","true","false","2026-01-15T00:00:00.000Z"
"16","Chameleon Dragon Fruit Plant","The Chameleon variety earns its name from fruits that change color as they ripen, progressing through shades of green, pink, and red. The flavor evolves similarly, starting tart and becoming intensely sweet. A true conversation piece for exotic fruit enthusiasts.","650","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQahmPsjVBclKwMGTKGxY77uDVgD3PmMTVwiw&s","","true","false","2026-01-16T00:00:00.000Z"
"17","Black African Dragon Fruit Plant","This rare variety has the darkest skin of any dragon fruit, appearing nearly black when ripe. The contrast with the bright red flesh inside is stunning. The flavor is rich and wine-like, with more complexity than typical sweet varieties.","450","plant","https://m.media-amazon.com/images/I/41zMKdi8bML._UF1000,1000_QL80_.jpg","Rare","true","true","2026-01-17T00:00:00.000Z"
"18","Ax Hybrid Dragon Fruit Plant","The Ax Hybrid was developed specifically for commercial production, combining large fruit size with excellent shelf life. The flavor is straightforwardly sweet without being cloying, making it popular with first-time dragon fruit buyers.","450","plant","img/18.jpg","","true","false","2026-01-18T00:00:00.000Z"
"19","White Crystal Dragon Fruit Plant","White Crystal is prized for its pure white flesh that's exceptionally crisp and refreshing. The flavor is clean and mildly sweet, making it perfect for pairing with stronger flavors. The fruits have particularly long shelf life compared to other varieties.","500","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBmzYWCW2T5BWxO8KmbdQUn_8s15ZdRSVoew&s","","true","false","2026-01-19T00:00:00.000Z"
"20","Sin Espinas Dragon Fruit Plant","True to its name ('Without Thorns'), this variety has smooth stems and fruits that are easy to handle. The flavor is mild but pleasant, with hints of melon. Ideal for families with children who want to enjoy dragon fruit without the prickly exterior.","500","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGbroH7UFpeoslgdEF3Nele74A_TolHSjKKA&s","","true","false","2026-01-20T00:00:00.000Z"
"21","Sugar8 Dragon Fruit Plant","Sugar8 is the sweetest dragon fruit variety we offer, with brix levels that can rival mangoes when fully ripe. The small to medium fruits pack incredible flavor intensity. The flesh is deep red with small seeds that add pleasant texture.","600","plant","http://spicyexotics.com/wp-content/uploads/Images/Products/SD/Sugar-Dragon-Dragon-Fruit-Fruit-optimized.jpg","","true","true","2026-01-21T00:00:00.000Z"
"22","Lemon Orange/Lemon Yellow Dragon Fruit Plant","This citrus-named variety offers bright, tangy flavors unusual in dragon fruits. The flesh has distinct lemon and orange notes that make it perfect for refreshing summer dishes. The yellow skin develops pink blush when exposed to sun.","350","plant","https://5.imimg.com/data5/ANDROID/Default/2023/1/MT/KE/HY/180142912/product-jpeg.jpg","","true","false","2026-01-22T00:00:00.000Z"
"23","Delight Dragon Fruit Plant ","Delight lives up to its name with fruits that are consistently enjoyable. The texture is particularly soft and creamy compared to most varieties. The balanced sweetness makes it excellent for eating fresh or blending into smoothies.","350","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSafyI8ULrYSC2OPbvmY5hFpBZ32TcVg0lGaA&s","","true","false","2026-01-23T00:00:00.000Z"
"24","Baby Cerrado Dragon Fruit Plant","This petite variety produces small but incredibly flavorful fruits. The Baby Cerrado packs more sweetness per ounce than larger varieties, with intense tropical notes. The compact plants make excellent container specimens for home growers.","350","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO6XpwmPFjXDKyNfl0t3wZD4gw-5ruNy8-HQ&s","","true","false","2026-01-24T00:00:00.000Z"
"25","Red Jaina Dragon Fruit Plant","Red Jaina is a bold-flavored variety with intense tropical character. The fruits are medium-sized but packed with flavor that includes notes of passionfruit and berry. The plants are particularly disease-resistant, making them gardener favorites.","490","plant","img/25.jpg","","true","false","2026-01-25T00:00:00.000Z"
"26","Vietnamese White Dragon Fruit Plant","This classic white-fleshed variety is Vietnam's most exported dragon fruit. The subtle sweetness and crisp texture make it versatile for both sweet and savory applications. The large fruits have excellent shipping qualities.","180","plant","https://dragonfruitobsession.github.io/varieties/Variety%20Photos/Vietnam%20White/Vietnam%20White%20-%20Fruit%203.jpg","","true","false","2026-01-26T00:00:00.000Z"
"27","Halley's Comet Dragon Fruit Plant","Named for its rarity and spectacular appearance, Halley's Comet produces large fruits with striking coloration. The flavor is sweet with caramel undertones that develop when fully ripe. A true collector's variety that's as delicious as it is beautiful.","400","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQs-Jybh2VFWBbXPvsmLKzrQyMUgmK6Ot4mkA&s","","true","false","2026-01-27T00:00:00.000Z"
"28","White Sapphire Dragon Fruit Plant","White Sapphire is a premium white-fleshed variety with exceptional clarity of flavor. The mild sweetness is complemented by subtle floral notes. The fruits have particularly thin skin, meaning more edible portion per fruit.","400","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3tZNjzjAzzTgaziJ0bbq0E59j2eJbVHgPeA&s","","true","false","2026-01-28T00:00:00.000Z"
"29","Tricia Dragon Fruit Plant","Tricia is a reliable mid-season variety known for its bright skin and refreshing flavor. The balanced sweetness makes it excellent for juicing. The plants are particularly productive, often bearing multiple crops per year.","350","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7VfDee1FpnCafy3CKRJeefTNkdko8KhajPw&s","","true","false","2026-01-29T00:00:00.000Z"
"30","Rainbow Dragon Fruit Plant","Rainbow variety fruits display a spectacular range of colors as they ripen, often showing multiple hues simultaneously. The flavor is as complex as the appearance, with layers of tropical fruit notes. Each fruit is unique in its color pattern.","470","plant","img/30.jpg","","true","false","2026-01-30T00:00:00.000Z"
"31","Asunta - 1 Dragon Fruit Plant","The first in the renowned Asunta series, this variety sets the standard for exotic dragon fruits. The flesh has a distinctive crystalline texture that's both crisp and juicy. The flavor profile includes hints of lychee and pear.","500","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuvx4THZg8NVvZAvgEJwG4RTNBEcbzCdFUWQ&s","","true","false","2026-01-31T00:00:00.000Z"
"32","Asunta - 2 Dragon Fruit Plant","Asunta-2 builds on its predecessor's qualities with even more vibrant coloration. The flesh is deep purple with excellent firmness that holds up well in culinary preparations. The flavor has more berry notes than Asunta-1.","500","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTerq_Qy33G5zVVQtNPFypnyAN0lsRyN4sdzg&s","","true","false","2026-02-01T00:00:00.000Z"
"33","Asunta - 3 Dragon Fruit Plant","The third in the Asunta series offers the perfect balance between sweetness and acidity. The fruits are particularly symmetrical with uniform size that's ideal for commercial packaging. The skin develops a beautiful glossy sheen when ripe.","500","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlmoOYnpSlW9VvRZksVhD26Fp7_cqqWwhddg&s","","true","false","2026-02-02T00:00:00.000Z"
"34","Asunta - 4 Dragon Fruit Plant","Asunta-4 is distinguished by its exceptionally high antioxidant content, evident in the deep color of its flesh. The flavor is rich and complex, with wine-like notes that develop fully when the fruit is at peak ripeness.","500","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIiMl44KH9Mbm4nNakUQ4HRX0zoVrBJKhGow&s","","true","false","2026-02-03T00:00:00.000Z"
"35","Asunta - 5 Dragon Fruit Plant","The crowning achievement of the Asunta series, this variety combines all the best traits - exceptional flavor, stunning appearance, and reliable production. The large fruits have thick flesh with small seed cavities, maximizing edible portion.","500","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtEoOHlf9oDxtGdlwQo_9dVdISGKjnDnw4_Q&s","","true","false","2026-02-04T00:00:00.000Z"
"36","Lavener Red Dragon Fruit Plant","Lavener Red has a distinctive lavender hue to its skin that sets it apart from other red varieties. The flesh is particularly juicy with balanced sweetness. The plants are compact growers suitable for small spaces.","400","plant","https://spicyexotics.com/wp-content/uploads/2021/08/La-Verne-Red-Dragon-Fruit-by-Spicy-Exotics.jpg","","true","false","2026-02-05T00:00:00.000Z"
"37","Lavener Pink Dragon Fruit Plant","The pink-skinned version of the Lavener series has even more floral aroma than its red counterpart. The flesh is firm yet melting, with a texture reminiscent of ripe peach. The beautiful appearance makes it a favorite for garnishes.","500","fruit","https://m.media-amazon.com/images/I/71IX0llkTeL._UF1000,1000_QL80_.jpg","","true","false","2026-02-06T00:00:00.000Z"
"38","Donaverre Laverene Dragon Fruit Plant","This French-developed variety combines elegance with robust flavor. The fruits are medium-sized but packed with intense tropical taste. The skin has a unique pebbled texture that distinguishes it from smoother varieties.","450","plant","https://plantinfo.co.za/wp-content/uploads/2024/10/Dragon-fruit-on-the-plant-how-to-grow-dragon-fruit.jpg","","true","false","2026-02-07T00:00:00.000Z"
"39","Country Road Dragon Fruit Plant","Country Road is a hardy variety that thrives in less-than-ideal conditions while still producing quality fruits. The flavor is straightforwardly sweet with good acidity balance. An excellent choice for beginning dragon fruit growers.","400","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjAvcTc9jYtOKPthqX5FnpDC67CUb53GHbww&s","","true","false","2026-02-08T00:00:00.000Z"
"40","Trish Red Dragon Fruit Plant","Named for its developer Trish, this variety is known for its early ripening and reliable production. The fruits are uniformly sized with deep red flesh that's high in betalain pigments. The flavor has distinct raspberry notes.","500","plant","https://5.imimg.com/data5/ANDROID/Default/2023/2/QS/FH/EO/3145959/product-jpeg.jpg","","true","false","2026-02-09T00:00:00.000Z"
"41","Thick King Dragon Fruit Plant","Thick King lives up to its name with an exceptionally high flesh-to-skin ratio. The thick rind makes it excellent for shipping while protecting the sweet, juicy interior. The flavor is straightforward and crowd-pleasing.","550","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgogcDDEkCQP2wBkvnym1MWBanfn8HrM9HOA&s","","true","false","2026-02-10T00:00:00.000Z"
"42","Townsend Pink Dragon Fruit Plant","Townsend Pink is a premium variety with fruits that command top prices in specialty markets. The intense pink color extends through both skin and flesh. The flavor is exceptionally sweet with floral undertones.","800","plant","https://i.pinimg.com/736x/fd/58/bd/fd58bdccdf38ccbf309aece99af8b042.jpg","Collector","true","true","2026-02-11T00:00:00.000Z"
"43","Mac Dragon Fruit Plant","The Mac variety is known for its consistent quality and good shelf life. The flavor is balanced and approachable, making it a good introductory dragon fruit. The plants are particularly resistant to common diseases.","500","plant","https://5.imimg.com/data5/PF/LH/LL/NSDMERP-38038631/38038631-product-1563262915783-500x500.jpg","","true","false","2026-02-12T00:00:00.000Z"
"44","Queen of the Night Dragon Fruit Plant","This variety gets its name from its spectacular night-blooming flowers that precede fruit set. The fruits themselves are medium-sized but packed with complex flavor that includes hints of vanilla and spice.","500","plant","https://i.etsystatic.com/19975874/r/il/848cbb/3056476504/il_1080xN.3056476504_9ode.jpg","","true","false","2026-02-13T00:00:00.000Z"
"45","Hana Dragon Fruit Plant","Hana means 'flower' in Hawaiian, and this variety produces particularly beautiful blooms. The fruits are sweet with a clean, refreshing finish. The skin develops attractive striping as it ripens.","500","plant","https://www.paudhewale.com/s/660a356584d1ac2391ae69de/687f78a88d45bf1a18525ecb/img-20241223-wa0005-640x640.jpg","","true","false","2026-02-14T00:00:00.000Z"
"46","Frankies Red Dragon Fruit Plant","Frankies Red is a compact variety that produces small but intensely flavored fruits. The deep red flesh has high antioxidant content. The plants are ideal for container growing on patios or balconies.","500","plant","https://i.etsystatic.com/18558976/r/il/36a9d2/2369491475/il_570xN.2369491475_ocgw.jpg","","true","false","2026-02-15T00:00:00.000Z"
"47","San Ignacio Dragon Fruit Plant","Originating from the San Ignacio region, this variety has adapted to thrive in diverse conditions. The fruits are large with thick skin that protects the sweet, mildly flavored flesh. An excellent all-purpose dragon fruit.","650","plant","http://spicyexotics.com/wp-content/uploads/2022/12/San-Ignacio-Dragon-Fruit-Spicy-Exotics.jpg","","true","false","2026-02-16T00:00:00.000Z"
"48","Worth Yellow Dragon Fruit Plant","Worth Yellow is among the sweetest of the yellow-skinned varieties. The flesh is white with a texture that's creamier than most dragon fruits. The plants are vigorous growers that produce heavy yields.","600","plant","https://via.placeholder.com/150","","true","false","2026-02-17T00:00:00.000Z"
"49","Worth Variegated Dragon Fruit Plant","This extremely rare variegated variety is prized by collectors worldwide. The stunning foliage is striped with cream and green, while the fruits display similar variegation. The flavor is excellent as well, making it truly worth the premium price.","2000","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGtqZgL_ud_TcdbmOlm-_PcBFuGV1wZhi-7Q&s","","true","false","2026-02-18T00:00:00.000Z"
"50","Chimera Dragon Fruit Plant","The Chimera represents the pinnacle of dragon fruit breeding - a true masterpiece of nature. Each fruit displays unique color patterns that can include multiple hues simultaneously. The flavor is equally spectacular, combining intense sweetness with complex tropical notes. A once-in-a-lifetime tasting experience.","1000","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmCLtG4yMzF7nxH8lhlx9ft0iURMRkHed9vw&s","","true","false","2026-02-19T00:00:00.000Z"
